subject,slice,filter,psnr,ssim
T1_to_SRI_defaced,83,gaussian,31.2604,0.9626
T1_to_SRI_defaced,83,mean,32.2952,0.9687
T1_to_SRI_defaced,83,median,35.8811,0.9814
T1_to_SRI_defaced,84,gaussian,31.1503,0.9627
T1_to_SRI_defaced,84,mean,32.1523,0.9688
T1_to_SRI_defaced,84,median,35.5931,0.9812
T1_to_SRI_defaced,85,gaussian,31.0746,0.9616
T1_to_SRI_defaced,85,mean,32.0203,0.9674
T1_to_SRI_defaced,85,median,35.4706,0.9796
T1_to_SRI_defaced,86,gaussian,31.3344,0.9623
T1_to_SRI_defaced,86,mean,32.2289,0.9679
T1_to_SRI_defaced,86,median,35.653,0.9798
FL_to_SRI_defaced,67,gaussian,31.3986,0.9504
FL_to_SRI_defaced,67,mean,31.9324,0.9544
FL_to_SRI_defaced,67,median,34.2459,0.9677
FL_to_SRI_defaced,68,gaussian,31.7316,0.9518
FL_to_SRI_defaced,68,mean,32.297,0.9558
FL_to_SRI_defaced,68,median,34.6518,0.9693
FL_to_SRI_defaced,69,gaussian,31.6035,0.9515
FL_to_SRI_defaced,69,mean,32.2057,0.9559
FL_to_SRI_defaced,69,median,34.7587,0.9704
FL_to_SRI_defaced,70,gaussian,31.2329,0.9502
FL_to_SRI_defaced,70,mean,31.7629,0.9543
FL_to_SRI_defaced,70,median,34.1494,0.9686
FL_to_SRI_defaced,71,gaussian,30.8429,0.9511
FL_to_SRI_defaced,71,mean,31.4454,0.9561
FL_to_SRI_defaced,71,median,34.1688,0.9704
FL_to_SRI_defaced,72,gaussian,30.9319,0.9519
FL_to_SRI_defaced,72,mean,31.6759,0.9572
FL_to_SRI_defaced,72,median,34.3582,0.9707
FL_to_SRI_defaced,73,gaussian,30.81,0.9516
FL_to_SRI_defaced,73,mean,31.5526,0.957
FL_to_SRI_defaced,73,median,34.1992,0.9704
FL_to_SRI_defaced,74,gaussian,30.8692,0.9517
FL_to_SRI_defaced,74,mean,31.6198,0.9572
FL_to_SRI_defaced,74,median,34.2599,0.9706
FL_to_SRI_defaced,75,gaussian,30.7234,0.9509
FL_to_SRI_defaced,75,mean,31.5066,0.9566
FL_to_SRI_defaced,75,median,34.226,0.9702
FL_to_SRI_defaced,76,gaussian,30.878,0.9511
FL_to_SRI_defaced,76,mean,31.7006,0.957
FL_to_SRI_defaced,76,median,34.5205,0.9705
FL_to_SRI_defaced,77,gaussian,31.1723,0.9517
FL_to_SRI_defaced,77,mean,32.0181,0.9577
FL_to_SRI_defaced,77,median,34.8235,0.9712
FL_to_SRI_defaced,78,gaussian,31.4686,0.9522
FL_to_SRI_defaced,78,mean,32.3142,0.9582
FL_to_SRI_defaced,78,median,35.1633,0.9716
FL_to_SRI_defaced,79,gaussian,31.6153,0.9524
FL_to_SRI_defaced,79,mean,32.446,0.9583
FL_to_SRI_defaced,79,median,35.3308,0.9719
FL_to_SRI_defaced,80,gaussian,31.8249,0.9529
FL_to_SRI_defaced,80,mean,32.6529,0.9588
FL_to_SRI_defaced,80,median,35.502,0.9721
FL_to_SRI_defaced,81,gaussian,31.9734,0.9535
FL_to_SRI_defaced,81,mean,32.8164,0.9593
FL_to_SRI_defaced,81,median,35.6954,0.9723
FL_to_SRI_defaced,82,gaussian,31.6757,0.9529
FL_to_SRI_defaced,82,mean,32.5447,0.9588
FL_to_SRI_defaced,82,median,35.5428,0.9718
FL_to_SRI_defaced,83,gaussian,31.2435,0.9521
FL_to_SRI_defaced,83,mean,32.144,0.9581
FL_to_SRI_defaced,83,median,35.1487,0.9713
FL_to_SRI_defaced,84,gaussian,30.8296,0.9514
FL_to_SRI_defaced,84,mean,31.7455,0.9575
FL_to_SRI_defaced,84,median,34.7057,0.9706
FL_to_SRI_defaced,85,gaussian,30.9114,0.9524
FL_to_SRI_defaced,85,mean,31.8155,0.9584
FL_to_SRI_defaced,85,median,34.8125,0.9713
FL_to_SRI_defaced,86,gaussian,30.934,0.9533
FL_to_SRI_defaced,86,mean,31.8207,0.9593
FL_to_SRI_defaced,86,median,34.9946,0.9724
T2_to_SRI_defaced,67,gaussian,31.6968,0.9446
T2_to_SRI_defaced,67,mean,31.9731,0.947
T2_to_SRI_defaced,67,median,33.7046,0.9614
T2_to_SRI_defaced,68,gaussian,31.6638,0.9452
T2_to_SRI_defaced,68,mean,31.9578,0.9479
T2_to_SRI_defaced,68,median,33.7371,0.9628
T2_to_SRI_defaced,69,gaussian,31.5339,0.9456
T2_to_SRI_defaced,69,mean,31.8482,0.9485
T2_to_SRI_defaced,69,median,33.7566,0.9649
T2_to_SRI_defaced,70,gaussian,31.4295,0.9478
T2_to_SRI_defaced,70,mean,31.8162,0.9513
T2_to_SRI_defaced,70,median,33.8305,0.9671
T2_to_SRI_defaced,71,gaussian,31.3751,0.9489
T2_to_SRI_defaced,71,mean,31.805,0.9526
T2_to_SRI_defaced,71,median,33.8487,0.968
T2_to_SRI_defaced,72,gaussian,31.3712,0.9486
T2_to_SRI_defaced,72,mean,31.8012,0.9525
T2_to_SRI_defaced,72,median,33.8155,0.9676
T2_to_SRI_defaced,73,gaussian,31.2326,0.9482
T2_to_SRI_defaced,73,mean,31.6609,0.952
T2_to_SRI_defaced,73,median,33.6652,0.9669
T2_to_SRI_defaced,74,gaussian,31.3291,0.9488
T2_to_SRI_defaced,74,mean,31.7647,0.9527
T2_to_SRI_defaced,74,median,33.7987,0.9669
T2_to_SRI_defaced,75,gaussian,31.5229,0.9497
T2_to_SRI_defaced,75,mean,31.9784,0.9537
T2_to_SRI_defaced,75,median,34.0392,0.967
T2_to_SRI_defaced,76,gaussian,31.6523,0.9504
T2_to_SRI_defaced,76,mean,32.1323,0.9545
T2_to_SRI_defaced,76,median,34.3055,0.968
T2_to_SRI_defaced,77,gaussian,31.7773,0.9508
T2_to_SRI_defaced,77,mean,32.2658,0.9549
T2_to_SRI_defaced,77,median,34.4858,0.9687
T2_to_SRI_defaced,78,gaussian,32.1237,0.9512
T2_to_SRI_defaced,78,mean,32.6122,0.9553
T2_to_SRI_defaced,78,median,34.8487,0.9691
T2_to_SRI_defaced,79,gaussian,31.6611,0.95
T2_to_SRI_defaced,79,mean,32.1579,0.9542
T2_to_SRI_defaced,79,median,34.2537,0.9679
T2_to_SRI_defaced,80,gaussian,31.3684,0.9501
T2_to_SRI_defaced,80,mean,31.8883,0.9543
T2_to_SRI_defaced,80,median,34.0015,0.968
T2_to_SRI_defaced,81,gaussian,31.3953,0.9515
T2_to_SRI_defaced,81,mean,31.9416,0.9559
T2_to_SRI_defaced,81,median,34.1429,0.9695
T2_to_SRI_defaced,82,gaussian,31.3525,0.9529
T2_to_SRI_defaced,82,mean,31.904,0.9572
T2_to_SRI_defaced,82,median,34.155,0.9706
T2_to_SRI_defaced,83,gaussian,31.6687,0.9546
T2_to_SRI_defaced,83,mean,32.2172,0.9589
T2_to_SRI_defaced,83,median,34.4919,0.9722
T2_to_SRI_defaced,84,gaussian,31.7468,0.9554
T2_to_SRI_defaced,84,mean,32.2808,0.9597
T2_to_SRI_defaced,84,median,34.5296,0.9731
T2_to_SRI_defaced,85,gaussian,32.052,0.9569
