subject,slice,filter,psnr,ssim
T1CE_to_SRI_defaced,71,median,36.3291,0.975
T1CE_to_SRI_defaced,72,gaussian,32.1185,0.9572
T1CE_to_SRI_defaced,72,mean,32.5778,0.9608
T1CE_to_SRI_defaced,72,median,35.155,0.9726
T1CE_to_SRI_defaced,73,gaussian,32.3173,0.9581
T1CE_to_SRI_defaced,73,mean,32.7719,0.9617
T1CE_to_SRI_defaced,73,median,35.3535,0.9734
T1CE_to_SRI_defaced,74,gaussian,31.6481,0.9564
T1CE_to_SRI_defaced,74,mean,32.0945,0.9601
T1CE_to_SRI_defaced,74,median,34.797,0.9721
T1CE_to_SRI_defaced,75,gaussian,32.0809,0.9578
T1CE_to_SRI_defaced,75,mean,32.5541,0.9616
T1CE_to_SRI_defaced,75,median,35.2436,0.9732
T1CE_to_SRI_defaced,76,gaussian,31.691,0.9562
T1CE_to_SRI_defaced,76,mean,32.1683,0.9601
T1CE_to_SRI_defaced,76,median,34.7484,0.9719
T1CE_to_SRI_defaced,77,gaussian,32.049,0.9568
T1CE_to_SRI_defaced,77,mean,32.5207,0.9607
T1CE_to_SRI_defaced,77,median,35.0662,0.9723
T1CE_to_SRI_defaced,78,gaussian,32.4214,0.9578
T1CE_to_SRI_defaced,78,mean,32.9157,0.9617
T1CE_to_SRI_defaced,78,median,35.3575,0.973
T1CE_to_SRI_defaced,79,gaussian,33.2984,0.9602
T1CE_to_SRI_defaced,79,mean,33.792,0.9639
T1CE_to_SRI_defaced,79,median,36.1077,0.9745
T1CE_to_SRI_defaced,80,gaussian,32.7863,0.9591
T1CE_to_SRI_defaced,80,mean,33.2855,0.9629
T1CE_to_SRI_defaced,80,median,35.5771,0.9737
T1CE_to_SRI_defaced,81,gaussian,32.1992,0.9575
T1CE_to_SRI_defaced,81,mean,32.7305,0.9614
T1CE_to_SRI_defaced,81,median,35.0456,0.9724
T1CE_to_SRI_defaced,82,gaussian,32.1346,0.958
T1CE_to_SRI_defaced,82,mean,32.6928,0.9619
T1CE_to_SRI_defaced,82,median,34.9001,0.9722
T1CE_to_SRI_defaced,83,gaussian,32.6134,0.9601
T1CE_to_SRI_defaced,83,mean,33.2218,0.964
T1CE_to_SRI_defaced,83,median,35.5571,0.9741
T1CE_to_SRI_defaced,84,gaussian,33.0468,0.9622
T1CE_to_SRI_defaced,84,mean,33.6668,0.9659
T1CE_to_SRI_defaced,84,median,36.1851,0.9759
T1CE_to_SRI_defaced,85,gaussian,32.3719,0.9611
T1CE_to_SRI_defaced,85,mean,32.9847,0.9648
T1CE_to_SRI_defaced,85,median,35.6389,0.9749
T1CE_to_SRI_defaced,86,gaussian,32.4273,0.9626
T1CE_to_SRI_defaced,86,mean,32.9797,0.9662
T1CE_to_SRI_defaced,86,median,35.8104,0.9765
T1_to_SRI_defaced,67,gaussian,31.694,0.9664
T1_to_SRI_defaced,67,mean,32.2477,0.9704
T1_to_SRI_defaced,67,median,35.6731,0.9831
T1_to_SRI_defaced,68,gaussian,31.7006,0.9669
T1_to_SRI_defaced,68,mean,32.257,0.9708
T1_to_SRI_defaced,68,median,35.7705,0.9834
T1_to_SRI_defaced,69,gaussian,31.8038,0.9675
T1_to_SRI_defaced,69,mean,32.367,0.9713
T1_to_SRI_defaced,69,median,36.0124,0.9838
T1_to_SRI_defaced,70,gaussian,31.7298,0.9674
T1_to_SRI_defaced,70,mean,32.274,0.9711
T1_to_SRI_defaced,70,median,35.7509,0.9833
T1_to_SRI_defaced,71,gaussian,31.8684,0.9679
T1_to_SRI_defaced,71,mean,32.4001,0.9715
T1_to_SRI_defaced,71,median,35.7511,0.9837
T1_to_SRI_defaced,72,gaussian,32.0614,0.9682
T1_to_SRI_defaced,72,mean,32.5721,0.9717
T1_to_SRI_defaced,72,median,35.8592,0.9833
T1_to_SRI_defaced,73,gaussian,32.2344,0.9685
T1_to_SRI_defaced,73,mean,32.7094,0.972
T1_to_SRI_defaced,73,median,35.9593,0.9837
T1_to_SRI_defaced,74,gaussian,31.9975,0.9681
T1_to_SRI_defaced,74,mean,32.4736,0.9717
T1_to_SRI_defaced,74,median,35.6852,0.9832
T1_to_SRI_defaced,75,gaussian,32.0707,0.9682
T1_to_SRI_defaced,75,mean,32.5556,0.9719
T1_to_SRI_defaced,75,median,35.9635,0.9837
T1_to_SRI_defaced,76,gaussian,32.1619,0.9683
T1_to_SRI_defaced,76,mean,32.6695,0.9719
T1_to_SRI_defaced,76,median,35.998,0.9833
T1_to_SRI_defaced,77,gaussian,32.7308,0.9695
T1_to_SRI_defaced,77,mean,33.3111,0.9732
T1_to_SRI_defaced,77,median,36.6548,0.9843
T1_to_SRI_defaced,78,gaussian,32.5293,0.9689
T1_to_SRI_defaced,78,mean,33.1138,0.9726
T1_to_SRI_defaced,78,median,36.2975,0.9834
T1_to_SRI_defaced,79,gaussian,32.9806,0.97
T1_to_SRI_defaced,79,mean,33.5663,0.9735
T1_to_SRI_defaced,79,median,36.6909,0.9838
T1_to_SRI_defaced,80,gaussian,32.9202,0.9697
T1_to_SRI_defaced,80,mean,33.5518,0.9733
T1_to_SRI_defaced,80,median,36.6231,0.9833
T1_to_SRI_defaced,81,gaussian,32.9772,0.9701
T1_to_SRI_defaced,81,mean,33.6308,0.9737
T1_to_SRI_defaced,81,median,36.8768,0.9838
T1_to_SRI_defaced,82,gaussian,33.1184,0.9705
T1_to_SRI_defaced,82,mean,33.7867,0.974
T1_to_SRI_defaced,82,median,36.763,0.9836
T1_to_SRI_defaced,83,gaussian,33.1958,0.9716
T1_to_SRI_defaced,83,mean,33.9025,0.9752
T1_to_SRI_defaced,83,median,37.0571,0.9849
T1_to_SRI_defaced,84,gaussian,33.088,0.9717
T1_to_SRI_defaced,84,mean,33.7785,0.9753
T1_to_SRI_defaced,84,median,36.8197,0.9849
T1_to_SRI_defaced,85,gaussian,32.97,0.9723
T1_to_SRI_defaced,85,mean,33.6403,0.9758
T1_to_SRI_defaced,85,median,37.1363,0.9856
T1_to_SRI_defaced,86,gaussian,32.4592,0.9728
T1_to_SRI_defaced,86,mean,33.01,0.9765
T1_to_SRI_defaced,86,median,36.6033,0.9862
FL_to_SRI_defaced,67,gaussian,29.9314,0.9188
FL_to_SRI_defaced,67,mean,30.132,0.9159
FL_to_SRI_defaced,67,median,32.3389,0.9294
FL_to_SRI_defaced,68,gaussian,29.9344,0.9186
FL_to_SRI_defaced,68,mean,30.1248,0.9157
FL_to_SRI_defaced,68,median,32.2183,0.9287
FL_to_SRI_defaced,69,gaussian,30.1226,0.92
FL_to_SRI_defaced,69,mean,30.2984,0.9171
FL_to_SRI_defaced,69,median,32.3493,0.9297
FL_to_SRI_defaced,70,gaussian,30.1476,0.9196
FL_to_SRI_defaced,70,mean,30.304,0.9164
FL_to_SRI_defaced,70,median,32.3225,0.9289
FL_to_SRI_defaced,71,gaussian,30.4079,0.9218
FL_to_SRI_defaced,71,mean,30.5553,0.9187
FL_to_SRI_defaced,71,median,32.6811,0.9311
FL_to_SRI_defaced,72,gaussian,30.5509,0.9226
FL_to_SRI_defaced,72,mean,30.6792,0.9192
FL_to_SRI_defaced,72,median,32.6766,0.9313
FL_to_SRI_defaced,73,gaussian,30.6374,0.9233
FL_to_SRI_defaced,73,mean,30.7793,0.9201
FL_to_SRI_defaced,73,median,32.6397,0.9309
FL_to_SRI_defaced,74,gaussian,30.7075,0.9244
FL_to_SRI_defaced,74,mean,30.8391,0.9211
FL_to_SRI_defaced,74,median,32.7314,0.9327
FL_to_SRI_defaced,75,gaussian,30.4107,0.9215
FL_to_SRI_defaced,75,mean,30.5486,0.9179
FL_to_SRI_defaced,75,median,32.4632,0.9291
FL_to_SRI_defaced,76,gaussian,30.5596,0.9224
FL_to_SRI_defaced,76,mean,30.7385,0.9194
FL_to_SRI_defaced,76,median,32.5695,0.9302
FL_to_SRI_defaced,77,gaussian,30.3954,0.9202
FL_to_SRI_defaced,77,mean,30.5729,0.9169
FL_to_SRI_defaced,77,median,32.5088,0.9284
FL_to_SRI_defaced,78,gaussian,30.88,0.923
FL_to_SRI_defaced,78,mean,31.054,0.9201
FL_to_SRI_defaced,78,median,32.9977,0.9311
FL_to_SRI_defaced,79,gaussian,30.5602,0.9199
FL_to_SRI_defaced,79,mean,30.7356,0.9165
FL_to_SRI_defaced,79,median,32.6701,0.9284
FL_to_SRI_defaced,80,gaussian,31.12,0.9241
FL_to_SRI_defaced,80,mean,31.3068,0.921
FL_to_SRI_defaced,80,median,33.1557,0.9322
FL_to_SRI_defaced,81,gaussian,30.9076,0.9228
FL_to_SRI_defaced,81,mean,31.1288,0.9196
FL_to_SRI_defaced,81,median,33.0852,0.9312
FL_to_SRI_defaced,82,gaussian,31.2103,0.9253
FL_to_SRI_defaced,82,mean,31.4501,0.9222
FL_to_SRI_defaced,82,median,33.401,0.9328
FL_to_SRI_defaced,83,gaussian,31.6448,0.9292
FL_to_SRI_defaced,83,mean,31.9025,0.9263
FL_to_SRI_defaced,83,median,33.8674,0.9375
FL_to_SRI_defaced,84,gaussian,30.6725,0.9225
FL_to_SRI_defaced,84,mean,30.9166,0.919
FL_to_SRI_defaced,84,median,32.9671,0.9301
FL_to_SRI_defaced,85,gaussian,30.9969,0.9283
FL_to_SRI_defaced,85,mean,31.2658,0.9254
FL_to_SRI_defaced,85,median,33.8695,0.9369
FL_to_SRI_defaced,86,gaussian,30.6637,0.925
FL_to_SRI_defaced,86,mean,31.0401,0.9217
FL_to_SRI_defaced,86,median,33.4842,0.9316
T2_to_SRI_defaced,67,gaussian,30.9944,0.9572
T2_to_SRI_defaced,67,mean,31.4689,0.9612
T2_to_SRI_defaced,67,median,33.9545,0.9737
T2_to_SRI_defaced,68,gaussian,30.9776,0.9577
T2_to_SRI_defaced,68,mean,31.4535,0.9616
T2_to_SRI_defaced,68,median,33.9771,0.9743
T2_to_SRI_defaced,69,gaussian,30.8273,0.9574
T2_to_SRI_defaced,69,mean,31.2696,0.9613
T2_to_SRI_defaced,69,median,33.6152,0.9737
T2_to_SRI_defaced,70,gaussian,30.7148,0.9571
T2_to_SRI_defaced,70,mean,31.1364,0.9609
T2_to_SRI_defaced,70,median,33.5858,0.9738
T2_to_SRI_defaced,71,gaussian,30.8516,0.9578
T2_to_SRI_defaced,71,mean,31.2808,0.9616
T2_to_SRI_defaced,71,median,33.7408,0.9745
T2_to_SRI_defaced,72,gaussian,30.9386,0.9587
T2_to_SRI_defaced,72,mean,31.381,0.9624
T2_to_SRI_defaced,72,median,33.9572,0.9754
T2_to_SRI_defaced,73,gaussian,30.9015,0.959
T2_to_SRI_defaced,73,mean,31.3439,0.9627
T2_to_SRI_defaced,73,median,33.8722,0.9757
T2_to_SRI_defaced,74,gaussian,31.0229,0.9599
T2_to_SRI_defaced,74,mean,31.4771,0.9635
T2_to_SRI_defaced,74,median,33.8687,0.9758
T2_to_SRI_defaced,75,gaussian,31.0171,0.96
T2_to_SRI_defaced,75,mean,31.4771,0.9635
T2_to_SRI_defaced,75,median,33.7711,0.9757
T2_to_SRI_defaced,76,gaussian,31.0813,0.9597
T2_to_SRI_defaced,76,mean,31.5181,0.963
T2_to_SRI_defaced,76,median,33.7136,0.9748
T2_to_SRI_defaced,77,gaussian,31.1221,0.9592
T2_to_SRI_defaced,77,mean,31.556,0.9624
T2_to_SRI_defaced,77,median,33.6373,0.974
T2_to_SRI_defaced,78,gaussian,31.0917,0.9583
T2_to_SRI_defaced,78,mean,31.5123,0.9614
T2_to_SRI_defaced,78,median,33.5381,0.9727
T2_to_SRI_defaced,79,gaussian,31.0852,0.9578
T2_to_SRI_defaced,79,mean,31.5365,0.961
T2_to_SRI_defaced,79,median,33.6294,0.9726
T2_to_SRI_defaced,80,gaussian,30.8998,0.9568
T2_to_SRI_defaced,80,mean,31.3498,0.96
T2_to_SRI_defaced,80,median,33.2702,0.9711
T2_to_SRI_defaced,81,gaussian,30.9974,0.957
T2_to_SRI_defaced,81,mean,31.4817,0.9602
T2_to_SRI_defaced,81,median,33.4781,0.9715
T2_to_SRI_defaced,82,gaussian,31.2134,0.9576
T2_to_SRI_defaced,82,mean,31.6907,0.9607
T2_to_SRI_defaced,82,median,33.6639,0.9718
T2_to_SRI_defaced,83,gaussian,31.0436,0.9581
T2_to_SRI_defaced,83,mean,31.5305,0.9613
T2_to_SRI_defaced,83,median,33.6968,0.9728
T2_to_SRI_defaced,84,gaussian,31.2471,0.9596
T2_to_SRI_defaced,84,mean,31.7169,0.9628
T2_to_SRI_defaced,84,median,34.0011,0.9738
T2_to_SRI_defaced,85,gaussian,31.0661,0.9608
T2_to_SRI_defaced,85,mean,31.5174,0.964
T2_to_SRI_defaced,85,median,34.3672,0.9756
T2_to_SRI_defaced,86,gaussian,31.4985,0.9632
T2_to_SRI_defaced,86,mean,32.0994,0.9665
T2_to_SRI_defaced,86,median,34.7303,0.9762
T1CE_to_SRI_defaced,67,gaussian,31.1408,0.9498
T1CE_to_SRI_defaced,67,mean,31.5374,0.9538
T1CE_to_SRI_defaced,67,median,34.6037,0.9698
T1CE_to_SRI_defaced,68,gaussian,31.1495,0.9495
T1CE_to_SRI_defaced,68,mean,31.5642,0.9536
T1CE_to_SRI_defaced,68,median,34.584,0.9692
T1CE_to_SRI_defaced,69,gaussian,31.6075,0.9509
T1CE_to_SRI_defaced,69,mean,32.0542,0.955
T1CE_to_SRI_defaced,69,median,34.8456,0.9697
T1CE_to_SRI_defaced,70,gaussian,31.971,0.9522
T1CE_to_SRI_defaced,70,mean,32.4768,0.9563
T1CE_to_SRI_defaced,70,median,35.1644,0.9702
T1CE_to_SRI_defaced,71,gaussian,31.9752,0.9518
T1CE_to_SRI_defaced,71,mean,32.5115,0.956
T1CE_to_SRI_defaced,71,median,35.0528,0.9697
T1CE_to_SRI_defaced,72,gaussian,31.8832,0.9515
T1CE_to_SRI_defaced,72,mean,32.4322,0.9557
T1CE_to_SRI_defaced,72,median,35.0045,0.9694
T1CE_to_SRI_defaced,73,gaussian,31.7325,0.9512
T1CE_to_SRI_defaced,73,mean,32.2972,0.9555
T1CE_to_SRI_defaced,73,median,34.8993,0.9693
T1CE_to_SRI_defaced,74,gaussian,31.4789,0.9503
T1CE_to_SRI_defaced,74,mean,32.0593,0.9546
T1CE_to_SRI_defaced,74,median,34.7239,0.9687
T1CE_to_SRI_defaced,75,gaussian,31.0075,0.9483
T1CE_to_SRI_defaced,75,mean,31.5699,0.9526
T1CE_to_SRI_defaced,75,median,34.1688,0.967
T1CE_to_SRI_defaced,76,gaussian,30.4214,0.9463
T1CE_to_SRI_defaced,76,mean,30.9295,0.9504
T1CE_to_SRI_defaced,76,median,33.472,0.9651
T1CE_to_SRI_defaced,77,gaussian,30.1815,0.9459
T1CE_to_SRI_defaced,77,mean,30.6676,0.9499
T1CE_to_SRI_defaced,77,median,33.2304,0.9642
T1CE_to_SRI_defaced,78,gaussian,30.6691,0.9493
T1CE_to_SRI_defaced,78,mean,31.1892,0.9534
T1CE_to_SRI_defaced,78,median,33.8053,0.9663
T1CE_to_SRI_defaced,79,gaussian,31.7469,0.9541
T1CE_to_SRI_defaced,79,mean,32.3708,0.9583
T1CE_to_SRI_defaced,79,median,35.015,0.9698
T1CE_to_SRI_defaced,80,gaussian,33.3543,0.9603
T1CE_to_SRI_defaced,80,mean,34.1241,0.9645
T1CE_to_SRI_defaced,80,median,36.6935,0.9744
T1CE_to_SRI_defaced,81,gaussian,33.1384,0.9593
T1CE_to_SRI_defaced,81,mean,33.9575,0.9635
T1CE_to_SRI_defaced,81,median,36.4096,0.9734
T1CE_to_SRI_defaced,82,gaussian,32.2112,0.9556
T1CE_to_SRI_defaced,82,mean,33.0538,0.9601
T1CE_to_SRI_defaced,82,median,35.4497,0.9705
T1CE_to_SRI_defaced,83,gaussian,31.3585,0.9525
T1CE_to_SRI_defaced,83,mean,32.1972,0.9571
T1CE_to_SRI_defaced,83,median,34.6815,0.9682
T1CE_to_SRI_defaced,84,gaussian,31.5991,0.9544
T1CE_to_SRI_defaced,84,mean,32.4147,0.959
T1CE_to_SRI_defaced,84,median,34.9609,0.97
T1CE_to_SRI_defaced,85,gaussian,31.9968,0.9564
T1CE_to_SRI_defaced,85,mean,32.8166,0.9609
T1CE_to_SRI_defaced,85,median,35.3952,0.9719
T1CE_to_SRI_defaced,86,gaussian,32.5944,0.9588
T1CE_to_SRI_defaced,86,mean,33.3722,0.9629
T1CE_to_SRI_defaced,86,median,35.8195,0.9737
BraTS-PED-00195-000-t1n,67,gaussian,33.1348,0.9752
BraTS-PED-00195-000-t1n,67,mean,34.0606,0.9806
BraTS-PED-00195-000-t1n,67,median,37.1092,0.9899
BraTS-PED-00195-000-t1n,68,gaussian,32.9635,0.9748
BraTS-PED-00195-000-t1n,68,mean,33.8839,0.9802
BraTS-PED-00195-000-t1n,68,median,37.0273,0.9897
BraTS-PED-00195-000-t1n,69,gaussian,33.0059,0.9748
BraTS-PED-00195-000-t1n,69,mean,33.9659,0.9803
BraTS-PED-00195-000-t1n,69,median,37.1475,0.9898
BraTS-PED-00195-000-t1n,70,gaussian,33.1802,0.9748
BraTS-PED-00195-000-t1n,70,mean,34.171,0.9803
BraTS-PED-00195-000-t1n,70,median,37.3302,0.9899
BraTS-PED-00195-000-t1n,71,gaussian,33.2579,0.9747
BraTS-PED-00195-000-t1n,71,mean,34.2724,0.9803
BraTS-PED-00195-000-t1n,71,median,37.3434,0.9898
BraTS-PED-00195-000-t1n,72,gaussian,33.3195,0.9747
BraTS-PED-00195-000-t1n,72,mean,34.3389,0.9803
BraTS-PED-00195-000-t1n,72,median,37.3582,0.9897
BraTS-PED-00195-000-t1n,73,gaussian,33.2597,0.9745
BraTS-PED-00195-000-t1n,73,mean,34.2724,0.9799
BraTS-PED-00195-000-t1n,73,median,37.3044,0.9894
BraTS-PED-00195-000-t1n,74,gaussian,32.9439,0.9737
BraTS-PED-00195-000-t1n,74,mean,33.9216,0.9792
BraTS-PED-00195-000-t1n,74,median,36.8012,0.9886
BraTS-PED-00195-000-t1n,75,gaussian,32.6535,0.9733
BraTS-PED-00195-000-t1n,75,mean,33.5907,0.9787
BraTS-PED-00195-000-t1n,75,median,36.4824,0.9881
BraTS-PED-00195-000-t1n,76,gaussian,32.5158,0.9741
BraTS-PED-00195-000-t1n,76,mean,33.4425,0.9795
BraTS-PED-00195-000-t1n,76,median,36.4459,0.9886
BraTS-PED-00195-000-t1n,77,gaussian,33.123,0.9759
BraTS-PED-00195-000-t1n,77,mean,34.1912,0.9813
BraTS-PED-00195-000-t1n,77,median,37.1482,0.9897
BraTS-PED-00195-000-t1n,78,gaussian,33.1309,0.9762
BraTS-PED-00195-000-t1n,78,mean,34.2612,0.9816
BraTS-PED-00195-000-t1n,78,median,37.4595,0.9898
BraTS-PED-00195-000-t1n,79,gaussian,33.0656,0.9763
BraTS-PED-00195-000-t1n,79,mean,34.2551,0.9818
BraTS-PED-00195-000-t1n,79,median,37.4819,0.9898
BraTS-PED-00195-000-t1n,80,gaussian,33.0398,0.9764
BraTS-PED-00195-000-t1n,80,mean,34.2806,0.9819
BraTS-PED-00195-000-t1n,80,median,37.6156,0.99
BraTS-PED-00195-000-t1n,81,gaussian,33.3519,0.977
BraTS-PED-00195-000-t1n,81,mean,34.6141,0.9825
BraTS-PED-00195-000-t1n,81,median,38.0263,0.9907
BraTS-PED-00195-000-t1n,82,gaussian,33.7158,0.9776
BraTS-PED-00195-000-t1n,82,mean,34.9596,0.9829
BraTS-PED-00195-000-t1n,82,median,38.4129,0.9913
BraTS-PED-00195-000-t1n,83,gaussian,34.1716,0.9782
BraTS-PED-00195-000-t1n,83,mean,35.4052,0.9835
BraTS-PED-00195-000-t1n,83,median,38.9466,0.9918
BraTS-PED-00195-000-t1n,84,gaussian,34.0946,0.9781
BraTS-PED-00195-000-t1n,84,mean,35.3721,0.9834
BraTS-PED-00195-000-t1n,84,median,39.1405,0.9916
BraTS-PED-00195-000-t1n,85,gaussian,33.7922,0.9776
BraTS-PED-00195-000-t1n,85,mean,35.1287,0.9831
BraTS-PED-00195-000-t1n,85,median,39.0702,0.9911
BraTS-PED-00195-000-t1n,86,gaussian,33.6315,0.9775
BraTS-PED-00195-000-t1n,86,mean,35.0107,0.983
BraTS-PED-00195-000-t1n,86,median,38.5839,0.9907
FL_to_SRI_defaced,67,gaussian,29.3358,0.8842
FL_to_SRI_defaced,67,mean,29.2541,0.8734
FL_to_SRI_defaced,67,median,30.2087,0.8822
FL_to_SRI_defaced,68,gaussian,29.3227,0.8833
FL_to_SRI_defaced,68,mean,29.2376,0.8725
FL_to_SRI_defaced,68,median,30.1672,0.8814
FL_to_SRI_defaced,69,gaussian,29.2341,0.8813
FL_to_SRI_defaced,69,mean,29.1916,0.8706
FL_to_SRI_defaced,69,median,30.1819,0.88
FL_to_SRI_defaced,70,gaussian,29.2542,0.8817
FL_to_SRI_defaced,70,mean,29.2572,0.8714
FL_to_SRI_defaced,70,median,30.3611,0.8816
FL_to_SRI_defaced,71,gaussian,29.4813,0.884
FL_to_SRI_defaced,71,mean,29.5117,0.874
FL_to_SRI_defaced,71,median,30.7057,0.8847
FL_to_SRI_defaced,72,gaussian,29.4373,0.8831
FL_to_SRI_defaced,72,mean,29.4808,0.8728
FL_to_SRI_defaced,72,median,30.7174,0.8836
FL_to_SRI_defaced,73,gaussian,28.9983,0.877
FL_to_SRI_defaced,73,mean,29.0464,0.8658
FL_to_SRI_defaced,73,median,30.3117,0.8766
FL_to_SRI_defaced,74,gaussian,28.7721,0.8733
FL_to_SRI_defaced,74,mean,28.8118,0.8617
FL_to_SRI_defaced,74,median,30.0985,0.8725
FL_to_SRI_defaced,75,gaussian,28.8007,0.8746
FL_to_SRI_defaced,75,mean,28.8091,0.8633
FL_to_SRI_defaced,75,median,30.0868,0.8745
FL_to_SRI_defaced,76,gaussian,28.9419,0.8782
FL_to_SRI_defaced,76,mean,28.9657,0.8675
FL_to_SRI_defaced,76,median,30.2387,0.8777
FL_to_SRI_defaced,77,gaussian,29.1941,0.8802
FL_to_SRI_defaced,77,mean,29.2299,0.8696
FL_to_SRI_defaced,77,median,30.4656,0.8791
FL_to_SRI_defaced,78,gaussian,29.3494,0.8808
FL_to_SRI_defaced,78,mean,29.412,0.8703
FL_to_SRI_defaced,78,median,30.6295,0.8795
FL_to_SRI_defaced,79,gaussian,29.3775,0.8803
FL_to_SRI_defaced,79,mean,29.4844,0.8698
FL_to_SRI_defaced,79,median,30.6966,0.8789
FL_to_SRI_defaced,80,gaussian,29.1516,0.8773
FL_to_SRI_defaced,80,mean,29.3085,0.867
FL_to_SRI_defaced,80,median,30.608,0.876
FL_to_SRI_defaced,81,gaussian,28.7975,0.872
FL_to_SRI_defaced,81,mean,28.9908,0.8614
FL_to_SRI_defaced,81,median,30.4085,0.8712
FL_to_SRI_defaced,82,gaussian,28.9579,0.8741
FL_to_SRI_defaced,82,mean,29.1534,0.8642
FL_to_SRI_defaced,82,median,30.6909,0.8742
FL_to_SRI_defaced,83,gaussian,29.1599,0.8758
FL_to_SRI_defaced,83,mean,29.3721,0.8662
FL_to_SRI_defaced,83,median,30.9755,0.8759
FL_to_SRI_defaced,84,gaussian,28.9726,0.8721
FL_to_SRI_defaced,84,mean,29.199,0.8621
FL_to_SRI_defaced,84,median,30.7754,0.8724
FL_to_SRI_defaced,85,gaussian,29.6168,0.8793
FL_to_SRI_defaced,85,mean,29.8419,0.87
FL_to_SRI_defaced,85,median,31.3733,0.8803
FL_to_SRI_defaced,86,gaussian,29.9458,0.8819
FL_to_SRI_defaced,86,mean,30.163,0.8728
FL_to_SRI_defaced,86,median,31.6907,0.8831
BraTS-PED-00195-000-t2w,67,gaussian,37.0207,0.972
BraTS-PED-00195-000-t2w,67,mean,37.9515,0.977
BraTS-PED-00195-000-t2w,67,median,40.7011,0.9848
BraTS-PED-00195-000-t2w,68,gaussian,37.0542,0.9719
BraTS-PED-00195-000-t2w,68,mean,37.9631,0.9769
BraTS-PED-00195-000-t2w,68,median,40.6277,0.9847
BraTS-PED-00195-000-t2w,69,gaussian,37.0683,0.9716
BraTS-PED-00195-000-t2w,69,mean,37.9785,0.9766
BraTS-PED-00195-000-t2w,69,median,40.6427,0.9846
BraTS-PED-00195-000-t2w,70,gaussian,37.0587,0.9713
BraTS-PED-00195-000-t2w,70,mean,37.9835,0.9763
BraTS-PED-00195-000-t2w,70,median,40.6659,0.9844
BraTS-PED-00195-000-t2w,71,gaussian,37.0698,0.9714
BraTS-PED-00195-000-t2w,71,mean,38.0218,0.9764
BraTS-PED-00195-000-t2w,71,median,40.715,0.9842
BraTS-PED-00195-000-t2w,72,gaussian,37.1088,0.9718
BraTS-PED-00195-000-t2w,72,mean,38.0837,0.9767
BraTS-PED-00195-000-t2w,72,median,40.7733,0.9842
BraTS-PED-00195-000-t2w,73,gaussian,37.1323,0.9721
BraTS-PED-00195-000-t2w,73,mean,38.1067,0.9768
BraTS-PED-00195-000-t2w,73,median,40.7094,0.9842
BraTS-PED-00195-000-t2w,74,gaussian,37.3097,0.9723
BraTS-PED-00195-000-t2w,74,mean,38.2675,0.9769
BraTS-PED-00195-000-t2w,74,median,40.7806,0.9842
BraTS-PED-00195-000-t2w,75,gaussian,37.4594,0.9724
BraTS-PED-00195-000-t2w,75,mean,38.4006,0.9769
BraTS-PED-00195-000-t2w,75,median,40.8905,0.9844
BraTS-PED-00195-000-t2w,76,gaussian,37.042,0.9711
BraTS-PED-00195-000-t2w,76,mean,37.9589,0.9757
BraTS-PED-00195-000-t2w,76,median,40.4061,0.9832
BraTS-PED-00195-000-t2w,77,gaussian,36.7147,0.9708
BraTS-PED-00195-000-t2w,77,mean,37.6545,0.9757
BraTS-PED-00195-000-t2w,77,median,40.2702,0.9835
BraTS-PED-00195-000-t2w,78,gaussian,36.4984,0.9711
BraTS-PED-00195-000-t2w,78,mean,37.4625,0.9761
BraTS-PED-00195-000-t2w,78,median,40.3058,0.984
BraTS-PED-00195-000-t2w,79,gaussian,36.2198,0.9711
BraTS-PED-00195-000-t2w,79,mean,37.2008,0.9761
BraTS-PED-00195-000-t2w,79,median,40.2116,0.9842
BraTS-PED-00195-000-t2w,80,gaussian,35.9989,0.9712
BraTS-PED-00195-000-t2w,80,mean,36.9978,0.9761
BraTS-PED-00195-000-t2w,80,median,40.0881,0.9842
BraTS-PED-00195-000-t2w,81,gaussian,36.0497,0.9714
BraTS-PED-00195-000-t2w,81,mean,37.0534,0.9763
BraTS-PED-00195-000-t2w,81,median,40.1826,0.9842
BraTS-PED-00195-000-t2w,82,gaussian,36.2184,0.9717
BraTS-PED-00195-000-t2w,82,mean,37.2273,0.9766
BraTS-PED-00195-000-t2w,82,median,40.3751,0.9843
BraTS-PED-00195-000-t2w,83,gaussian,36.1479,0.9717
BraTS-PED-00195-000-t2w,83,mean,37.1814,0.9766
BraTS-PED-00195-000-t2w,83,median,40.4553,0.9845
BraTS-PED-00195-000-t2w,84,gaussian,36.4403,0.9727
BraTS-PED-00195-000-t2w,84,mean,37.5089,0.9775
BraTS-PED-00195-000-t2w,84,median,40.9313,0.9854
BraTS-PED-00195-000-t2w,85,gaussian,36.5824,0.9735
BraTS-PED-00195-000-t2w,85,mean,37.6716,0.9782
BraTS-PED-00195-000-t2w,85,median,41.1366,0.9858
BraTS-PED-00195-000-t2w,86,gaussian,36.6766,0.9743
BraTS-PED-00195-000-t2w,86,mean,37.7693,0.9788
BraTS-PED-00195-000-t2w,86,median,41.1842,0.9861
T1CE_to_SRI_defaced,67,gaussian,31.8332,0.9466
T1CE_to_SRI_defaced,67,mean,32.072,0.9484
T1CE_to_SRI_defaced,67,median,34.4005,0.9632
T1CE_to_SRI_defaced,68,gaussian,31.8556,0.9475
T1CE_to_SRI_defaced,68,mean,32.0936,0.9492
